Código,Objeto,Categoria,TCO_Descricao,Lic_Descricao,Valor
2594,"Fica neste ato UNILATERALMENTE RESCINDIDO o Termo de Prestação de Serviços nº 01-018/2022, assinado em 02/05/2022, e seus aditivos, oriundo do Pregão Presencial nº 016/2022, do Tipo Menor Preço Global, cujo o objeto é a prestação de Serviços Gerais de conservação, com o intuito de atender as necessidades da Secretaria Municipal de Saúde, conforme demais documentos acostados nos autos do Processos Administrativos nº 014/000539/2026.",0,TERMO DE RESCISÃO EM GERAL,PREGÃO PRESENCIAL,0.0
2595,"O presente Termo Aditivo tem por finalidade PRORROGAR EXCEPCIONALMENTE por 12 (doze)  meses o Termo de Prestação de Serviços nº 01-001/2021, assinado em 03/02/2021, e seus aditivos,  tendo como objeto a prestação de serviços de manutenção corretiva da rede de sinalização semafórica do município de Duque de Caxias, incluindo o fornecimento de materiais e a disponibilização de equipamentos e de pessoal especializado para a perfeita execução dos serviços, conforme  Autorizo e demais documentos constantes no Processo Administrativo nº 024/000039/2026.",1,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,PREGÃO PRESENCIAL,2146797.13
2596,"O objeto do presente termo é a Contratação de Empresa de Lavanderia Industrial Especializada em locação e processamento de enxoval hospitalar - LOTE 1, conforme especificações e condições estabelecidas no Termo de Referência, conforme Homologação e demais documentos constantes nos autos do Processo Administrativo n2 014/000369/2025.",0,TERMO DE PRESTAÇÃO DE SERVIÇOS,ATA DE REGISTRO DE PREÇOS,12409243.05
2597,"O presente Termo Aditivo tem por finalidade ACRESCER em 24,92% e SUPRIMIR em 1,84% o Termo de Prestação de Serviços de Execução de Obras n° 05-028/2022, assinado em 28/04/2022, cujo objeto é a contratação de empresa especializada para o projeto de construção de Unidade Pré Hospitalar de Xerém (UPH XEREM), contemplando a área total de 3.535,89 m², localizado na Rua Dr. Sabino Árias, S/N  Xerém  Duque de Caxias - 4° Distrito - RJ, conforme Autorizo e demais documentos acostados no Processo Administrativo nº 013/001315/2025.",1,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE OBRAS,CONCORRÊNCIA,35271815.67
2598,"O presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses o Termo de Prestação de Serviços  nº 01-002/2025, assinado em 15/01/2025, cujo objeto é a  prestação de serviços de agente de integração, para desenvolvimento, planejamento, administração e acompanhamento de atividades, objetivando a operacionalização do programa de estágio no âmbito da Secretaria Municipal de Obras de Duque de Caxias  85 (oitenta e cinco) vagas, conforme Autorizo, justificativa e demais documentos acostados no Processo Administrativo nº 013/000022/2026.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,ATA DE REGISTRO DE PREÇOS,1030098.0
2599,"O objeto do presente Termo é o Credenciamento da J17 - SOCIEDADE DE CREDITO DIRETO S/A, para a prestação de serviços de empréstimo consignado, cartão de crédito, cartão de benefício compra e cartão de benefício saque, oriundo do Chamamento Público nº 003/SMA/2025, conforme o constante no Processo Administrativo nº 008/000285/2026.",0,TERMO DE CREDENCIAMENTO,CHAMAMENTO PÚBLICO,0.0
2601,"O presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses o Termo de Prestação de Serviço nº 01-008/2023, assinado em 17/02/2023, cujo o objeto é a prestação de serviços de limpeza, asseio, conservação predial, visando a obtenção de condições adequadas de salubridade e higiene, com disponibilização de mão de obra nas 184 (cento e oitenta e quatro) Unidades Escolares da Rede Pública Municipal de Duque de Caxias, bem como nas instalações da Sede da Secretaria Municipal de Educação e as demais unidades vinculadas à ela, conforme Autorizo e demais documentos acostados nos autos do Processo Administrativo nº 010/000060/2026.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,INEXIGIBILIDADE DE LICITAÇÃO,1490517.0
2602,"O objeto do presente Termo é o Credenciamento da PB SOCIEDADE DE CRÉDITO DIRETO S.A, para a prestação de serviços de Empréstimo Consignado, Cartão de Crédito, Cartão de Benefício Compra e Cartão de Benefício Saque, oriundo do Chamamento Público nº 003/SMA/2025, conforme o constante no Processo Administrativo nº 008/000195/2026.",0,TERMO DE CREDENCIAMENTO,CHAMAMENTO PÚBLICO,0.0
2603,"O objeto do presente termo é a LOCAÇÃO DE AMBULÂNCIAS destinadas ao atendimento das necessidades  da Secretaria Municipal de Saúde de Duque de Caxias, nas especificações e condições descritas no Termo  de Referência, conforme homologação e demais documentos acostados nos autos do Processo  Administrativo n9 014/002278/2025.",0,TERMO DE PRESTAÇÃO DE SERVIÇOS,ATA DE REGISTRO DE PREÇOS,63228000.0
2604,"O presente Termo Aditivo tem por finalidade ADITAR por 180 (cento e oitenta) dias corridos o Termo de  Prestação de Serviços de Execução de Obras nº 05-017/2020, assinado em 25/05/2020, e seus aditivos, cujo objeto é a implantação e modernização do Ginásio Poliesportivo Universidade (Ginásio CIEEDC), conforme Autorizo e demais documentos acostados no Processo Administrativo nº 013/000023/2026.",1,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE OBRAS,CONCORRÊNCIA,0.0
2605,"O presente Termo Aditivo tem por finalidade ACRESCER em 10,60%, em SUPRIMIR 4,33% e ADITAR por  180 (cento e oitenta) dias corridos o Termo de Prestação de Serviços de Execução nº 05-035/2024,  assinado em 14/10/2024, cujo objeto é a implantação de Creche padrão FNDE Adaptada no Bairro  Parque Império, em Duque de Caxias/RJ, conforme Autorizo, Justificativa Técnica e demais documentos acostados no Processo Administrativo nº 013/001391/2025.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE OBRAS,CONCORRÊNCIA,9231494.92
2607,"O objeto do presente termo é a prestação de serviços de facilities, incluindo atividades de suporte operacional, manutenção, infraestrutura, transporte, segurança patrimonial, assistência e apoio administrativo  Lotes 1 e 2, nas especificações e condições constantes no Termo de Referência, conforme Homologação e demais documentos acostados nos autos do Processo Administrativo nº 014/000367/2025.",0,TERMO DE PRESTAÇÃO DE SERVIÇOS,PREGÃO ELETRÔNICO,165777954.0
2608,"O presente Termo Aditivo tem por finalidade ACRESCER em 24,46%, SUPRIMIR em 1,09% e ADITAR por  60 (sessenta) dias corridos o Termo de Prestação de Serviços de Execução nº 05-037/2024, assinado em  21/11/2024, cujo objeto é a implantação de Unidade Básica de Saúde (UBS) Porte I - Xerém, em Duque de Caxias/RJ, com área total de 531,00 m², conforme Autorizo, Justificativa Técnica e demais documentos acostados no Processo Administrativo nº 013/001264/2025.",1,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE OBRAS,CONCORRÊNCIA,3580568.24
2609,"O presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses o Termo de Prestação de Serviços nº 01-008/2023, assinado em 17/02/2023, e seus aditivos, cujo o objeto é a prestação de  serviços de limpeza, asseio, conservação predial, visando a obtenção de condições adequadas de  salubridade e higiene, com disponibilização de mão de obra nas 184 (cento e oitenta e quatro)  Unidades Escolares da Rede Pública Municipal de Duque de Caxias, bem como nas instalações da Sede da Secretaria Municipal de Educação e as demais unidades vinculadas à ela, conforme Autorizo e demais documentos acostados nos autos do Processo Administrativo nº 010/000060/2026.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,PREGÃO ELETRÔNICO,45764456.4
2610,"O objeto do presente termo é a aquisição de materiais destinados à manutenção, conservação e operacionalização de piscinas, compreendendo insumos, produtos e acessórios necessários ao tratamento de água, à preservação das estruturas e ao adequado funcionamento dos equipamentos aquáticos sob responsabilidade da Secretaria Municipal de Esportes e Lazer de Duque de Caxias - SMEL, nas especificações e condições constantes no Termo de Referência, Termo de Adesão e demais documentos constantes nos autos do Processo Administrativo nº 016/000098/2025.",0,TERMO DE FORNECIMENTO,ADESÃO À ATA DE REGISTRO DE PREÇOS,385708.3
2611,"O objeto do presente termo é a aquisição de acessórios de piscina, de consumo regular, destinados as atividades aquáticas, compreendendo acessórios e dispositivos utilizados em aulas de natação, hidroginástica e demais práticas recreativas em piscinas públicas sob responsabilidade da Secretaria Municipal de Esportes e Lazer de Duque de Caxias - SMEL, nas especificações e condições constantes no Termo de Referência, Termo de Adesão e demais documentos constantes nos autos do Processo Administrativo nº 016/000106/2025.",0,TERMO DE FORNECIMENTO,ADESÃO À ATA DE REGISTRO DE PREÇOS,105375.0
2612,"O presente ACORDO tem por objetivo a disponibilização de plataforma digital, via linkweb, no site do ADERENTE, com solução tecnológica para realização de pagamento, através de cartão de crédito para quitação de débitos tributários ou não-tributários. O Checkout API BB PAY ARRECADAÇÃO é a Interface de Programação de Aplicativo (Application Programming Interface), que contém instruções e padrões de programação definidos pelo BANCO para acesso a um aplicativo ou software. O presente ACORDO abrange tão somente a integração dos sistemas, via API, para a finalidade descrita no caput desta cláusula, não alcançando a prestação dos serviços de arrecadação de tributos, a qual é regida por instrumento específico firmado entre o BANCO e o ADERENTE.",0,TERMO DE FORNECIMENTO,N/A,0.0
2613,"O objeto do presente termo é a prestação de serviços de locação de veículos, nas especificações e condições constantes no Termo de Adesão e demais documentos constantes nos autos do Processo Administrativo nº 038/000074/2025.",0,TERMO DE PRESTAÇÃO DE SERVIÇOS,ADESÃO À ATA DE REGISTRO DE PREÇOS,4080000.0
2614,"0 presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses e REAJUSTAR em 4,097830% o Termo de Prestação de Serviços 01-001/2024, assinado em 03/03/2024, e seus aditivos, cujo o objeto é o fornecimento de assinatura de ferramenta de pesquisa e comparação de preços praticados pela Administração Pública, conforme Autorizo e demais documentos acostados nos autos do Processo Administrativo nº 003/000019/2026",,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,INEXIGIBILIDADE DE LICITAÇÃO,0.0
2615,"O presente Termo Aditivo tem por finalidade ACRESCER em 23,67%, SUPRIMIR em 0,37% e ADITAR por  120 {cento e vinte) dias corridos o Termo de Prestação de Serviços de Execução nº 05-025/2025,  assinado em 09/09/2025, cujo objeto é a reforma e ampliação do Hospital do Olho de Duque de Caxias,  conforme Autorizo e demais documentos acostados no Processo Administrativo ne 013/000002/2026.",1,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE OBRAS,CONCORRÊNCIA,2754440.88
2616,"O presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses e REAJUSTAR em 5,096% o Termo de prestação de serviços 01-011/2025, assinado em 28/02/2025, cujo objeto é a Prestação de serviços, de forma permanente e contínua, de combate e controle de pragas e vetores, limpeza e higienização em geral e sanitização, em atendimento às necessidades essenciais da Secretaria Municipal de Educação de Duque de Caxias/RJ, conforme Autorizo e demais documentos constantes no Processo Administrativo nº 010/000002/2026.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,PREGÃO ELETRÔNICO,1178087.34
2617,"O presente Termo tem como objeto a Locação de Imóvel para instalação e funcionamento do polo Vila Maria Helena 1, da Secretaria Municipal de Esporte e Lazer, situado na Estrada da Invernada, Lote 10, Quadra 1-A, Loteamento Vila Arcampo, Chácaras Arcampo, Duque de Caxias/RJ, nas condições, descrições e exigências estabelecidas no Termo de Referência, conforme Ato de Inexigibilidade e demais documentos constantes no processo administrativo nº 016/000161/2025.",0,TERMO DE LOCAÇÃO DE IMÓVEL,INEXIGIBILIDADE DE LICITAÇÃO,60000.0
2618,"O objeto do presente Termo é o Credenciamento do BANCO SANTANDER (BRASIL) S.A, para prestação  de serviços bancários de recolhimento de tributos e demais receitas públicas municipais, através de  Documento de Arrecadação Municipal (DAM), padrão FEBRABAN, por intermédio de suas agências,  com prestação de contas por meio magnético dos valores arrecadados com intuito de atender as necessidades da Secretaria Municipal de Fazenda, oriundo do Chamamento Público nº 040/2025, conforme o constante no Processo Administrativo nº 009/000892/2026",0,TERMO DE CREDENCIAMENTO,CHAMAMENTO PÚBLICO,0.0
2619,"O presente Termo tem como objeto a Locação de Imóvel, para instalação e funcionamento do Polo Parque Eldorado da Secretaria Municipal de Esporte e Lazer, situado na Rua Etelvina Farias de Castro, Lotes 9, 10 e 36, Quadra 19, loteamento Parque Eldorado, 2° Distrito de Duque de Caxias/RJ, nas condições, descrições e exigências estabelecidas no Termo de Referência, conforme Ato de Inexigibilidade, Autorizo e demais documentos constantes no processo administrativo nº 016/000178/2025.",0,TERMO DE LOCAÇÃO DE IMÓVEL,N/A,60000.0
2620,"O objeto do presente Termo é a Prestação de serviço de sondagem geológica-geotécnica no município de  Duque de Caxias/RJ, nas especificações e condições constantes no Termo de Referência, conforme Processo  Administrativo nº 013/000276/2025.",1,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE OBRAS,CONCORRÊNCIA,3093469.2
2621,"O objeto do presente termo é a implantação de Escola Municipal no bairro Figueira - Estrada Velha do  Pilar, LAT. -22.6802032, |_ONG. -43.2921159, nas especificações e condições constantes no Projeto Básico, conforme Homologação e demais documentos constantes nos autos do Processo Administrativo nº 013/000285/2025.",1,TERMO DE PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE OBRAS,CONCORRÊNCIA,13717800.0
2622,"O objeto do presente termo é a prestação de serviços de Locação de Equipamentos com manutenção  e seguro, nas especificações e condições constantes no Termo de Referência e demais documentos acostados nos autos do Processo Administrativo nº 013/000152/2025. O valor global deste Termo é de R$ 101.440.398,57 (cento e um milhões, quatrocentos e quarenta mil e trezentos e noventa e oito reais e cinquenta e sete centavos)",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,ATA DE REGISTRO DE PREÇOS,101440398.57
2623,"O presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses o Termo de  Prestação de Serviços nº 01-016/2023, assinado em 02/03/2023, e seus aditivos, cujo o objeto é a  prestação de serviços de impressão com fornecimento de lonas digitais e instalação, em  atendimento às necessidades da Secretaria Municipal de Saúde de Duque de Caxias/RJ, conforme  Autorizo e demais documentos constantes no Processo Administrativo n° 014/000247/2026.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,ADESÃO À ATA DE REGISTRO DE PREÇOS,2362756.25
2624,"O presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses o Termo de Prestação de Serviços nº 01-007/2023, assinado em 17/02/2023, cujo objeto do presente Termo é a prestação de serviços de outsourcing de impressão e reprografia, com fornecimento de equipamentos novos e de primeiro uso e fornecimento dos insumos necessários, exceto papel, incluindo suprimentos, peças, logística direta e reversa dos resíduos gerados pelo contrato, conforme Autorizo e demais documentos acostados nos autos do Processo Administrativo  nº 006/004539/2025.",,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,ADESÃO À ATA DE REGISTRO DE PREÇOS,353497.92
2625,"O presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses o Termo de Prestação de Serviços de Execução de Obras nº 05-009/2022, assinado em 28/01/2022, e seus aditivos, cujo objeto é a Prestação de serviços contínuos de manutenção preventiva e corretiva de elevadores e escadas rolantes, com fornecimento de peças e materiais, no município de Duque de Caxias/RJ, conforme Autorizo e demais documentos acostados nos Processos Administrativos nº 013/000058/2026.",1,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE OBRAS,TOMADA DE PREÇOS,843658.75
2626,"O presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses o Termo de Prestação de Serviços de Execução de obras nº 05-005/2025, assinado em 23/01/2025, cujo objeto é a Contratação do Saldo da Ata de Registro de Preços nº 015b/2024, para a aquisição de insumos betuminosos para composição de revestimento asfáltico destinados à pavimentação dos logradouros públicos a serem utilizados nos 1º, 2º, 3º e 4º Distritos de Duque de Caxias/RJ  ITENS 2, 3 e 4, conforme Autorizo, justificativa e demais documentos acostados no Processo Administrativos nº 013/000008/2026.",0,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE OBRAS,ATA DE REGISTRO DE PREÇOS,36609928.9
2627,"O presente Termo Aditivo tem por objeto PRORROGAR por 12 (doze) meses o Termo de Credenciamento nº 36-005/2024, assinado em 29/01/2024, e seus aditivos, cujo objeto é a prestação de serviços de oncologia clínica, quimioterapia, hormonioterapia e cirurgia oncológica na Rede Municipal de Saúde de Duque de Caxias, recebendo valores unitários por cada procedimento realizado, conforme previsto na Tabela do Sistema Único de Saúde, nas condições estabelecidas no Edital de Chamamento Público n° 004/2023, Autorizo e demais documentos constantes no Processo Administrativo n° 014/004693/2025.",,TERMO ADITIVO DE CREDENCIAMENTO,CHAMAMENTO PÚBLICO,10800000.0
2628,"O presente Termo Aditivo tem por finalidade PRORROGAR por 12 (doze) meses o Termo de Prestação de Serviços nº 01-013/2023, assinado em 24/02/2023, e seus aditivos, cujo objeto é a locação de geradores de gotas de aerossol em ultra baixa volume (UBV), acoplados em veículos, sem motorista e sem fornecimento de combustível, e aquisição de insumos (inseticida), conforme Autorizo e demais documentos constantes no Processo Administrativo nº 014/000112/2026.",,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS,ADESÃO À ATA DE REGISTRO DE PREÇOS,3651187.5
2632,"O objeto do presente termo é implantação de Escola Municipal no Bairro Imbaríê, localizado na Rua Narcisa  Amália - 3º Distrito de Duque de Caxias/RJ, nas especificações e condições constantes no Projeto Básico,  conforme Homologação e demais documentos constantes nos autos do Processo Administrativo nº  013/000312/2025.",1,TERMO ADITIVO DE PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO DE OBRAS,CONCORRÊNCIA,14256692.15
